Quantity,InvoiceDate,UnitPrice
3,3/17/2011 20:12,0.83
2,10/21/2011 13:17,4.95
24,11/4/2011 13:26,0.39
1,5/24/2011 17:24,2.55
12,5/23/2011 15:38,0.85
5,1/9/2011 12:51,2.1
1,12/1/2011 13:47,1.25
64,2/16/2011 9:56,0.65
5,12/8/2010 14:25,0.85
-14,5/5/2011 18:14,10.95
25,10/5/2011 14:53,0.42
2,7/4/2011 10:17,2.46
10,8/26/2011 11:18,2.08
1,6/10/2011 17:25,4.13
6,7/7/2011 14:30,1.95
1,5/3/2011 10:41,0.85
20,11/2/2011 10:16,0.83
12,8/19/2011 9:38,1.65
6,11/20/2011 15:36,0.38
2,10/13/2011 12:47,8.25
1,6/22/2011 15:15,3.75
1,10/4/2011 15:21,1.45
1,6/10/2011 17:25,5.79
-12,9/6/2011 10:42,1.45
24,10/3/2011 9:30,1.25
6,2/2/2011 11:43,2.1
12,8/21/2011 11:50,1.65
1,4/21/2011 14:40,0.0
2,5/15/2011 16:02,1.25
3,12/2/2011 12:52,0.39
24,6/17/2011 13:57,0.29
12,1/24/2011 10:05,0.65
50,10/20/2011 9:28,4.15
6,11/16/2011 9:35,3.25
32,11/14/2011 16:17,1.69
48,4/8/2011 12:33,0.65
12,12/10/2010 14:29,2.1
2,10/25/2011 15:47,8.5
6,9/20/2011 13:21,4.25
6,1/14/2011 9:20,3.75
2,11/25/2011 13:45,0.39
1,10/31/2011 14:21,3.29
18,4/8/2011 12:56,2.95
12,7/18/2011 16:05,1.25
16,6/20/2011 15:47,4.15
12,3/24/2011 14:46,1.95
6,2/15/2011 14:49,0.65
3,12/17/2010 14:54,3.36
12,4/27/2011 17:23,3.29
4,8/8/2011 12:34,2.08
2,1/12/2011 11:52,9.95
1,9/18/2011 13:40,4.95
2,12/9/2010 11:31,10.95
7,8/10/2011 16:51,0.83
5,11/8/2011 13:10,1.25
1,2/22/2011 16:28,16.63
2,4/27/2011 17:18,3.29
12,2/16/2011 14:56,1.25
3,4/18/2011 11:13,2.55
3,10/7/2011 10:06,5.95
1,7/26/2011 13:46,0.39
1,12/5/2010 13:26,2.95
48,5/16/2011 15:48,0.55
10,5/13/2011 12:13,6.75
1,9/4/2011 16:12,5.95
12,2/23/2011 16:45,1.25
1,6/23/2011 13:39,3.75
4,7/4/2011 12:19,8.25
2,7/19/2011 12:54,1.25
51,12/5/2011 11:48,5.79
4,4/27/2011 12:21,4.95
1,3/7/2011 13:50,3.95
3,9/11/2011 12:45,3.25
2,11/22/2011 11:13,2.95
2,11/9/2011 11:25,9.95
5,12/10/2010 14:59,4.21
1,3/14/2011 11:41,4.25
4,5/8/2011 16:03,8.25
1,7/4/2011 10:23,1.63
2,7/13/2011 16:07,0.79
12,4/12/2011 14:22,1.25
72,8/19/2011 9:38,0.19
2,11/6/2011 14:02,4.15
1,1/26/2011 12:45,0.95
1,12/1/2011 13:32,2.95
5,11/13/2011 15:42,1.65
12,9/22/2011 11:40,1.65
12,3/2/2011 11:48,1.25
1,2/4/2011 13:03,4.13
36,2/14/2011 9:33,4.95
4,11/2/2011 13:37,4.25
3,11/24/2011 9:26,0.83
2,12/6/2010 12:55,4.95
1,11/16/2011 12:25,4.95
72,10/25/2011 12:38,0.42
8,5/13/2011 14:09,4.15
5,11/21/2011 11:57,0.06
12,2/24/2011 16:31,2.95
1,8/10/2011 15:29,3.75
1,12/7/2011 14:43,14.95
12,3/7/2011 13:03,2.95
1,12/10/2010 11:11,7.95
3,11/2/2011 15:33,2.08
40,9/30/2011 10:27,8.0
240,7/31/2011 15:42,2.95
1,6/29/2011 15:58,2.46
6,11/25/2011 13:23,2.08
1,11/22/2011 13:25,4.25
12,7/13/2011 12:24,1.95
117,11/25/2011 11:36,2.46
2,7/28/2011 17:09,12.75
4,3/8/2011 8:53,4.25
6,10/21/2011 15:36,2.89
2,4/15/2011 10:43,2.46
2,12/21/2010 15:40,1.28
1,5/10/2011 15:04,161.88
5,1/24/2011 9:35,2.46
4,12/8/2011 13:36,1.65
1,10/2/2011 12:30,0.42
5,7/13/2011 12:18,2.95
4,10/26/2011 16:57,1.95
3,11/17/2011 14:08,2.95
3,1/16/2011 16:10,1.95
1,12/2/2011 16:39,3.29
4,8/21/2011 11:15,2.1
6,2/3/2011 11:28,1.25
24,2/16/2011 12:49,1.45
2,7/10/2011 13:32,1.25
4,6/6/2011 11:26,4.95
2,11/11/2011 13:06,1.25
12,11/4/2011 11:04,1.95
1,10/18/2011 12:17,2.1
12,10/11/2011 14:10,2.08
3,1/31/2011 12:14,1.63
10,5/27/2011 10:29,1.65
2,11/14/2011 14:59,1.25
1,10/30/2011 11:09,2.1
5,7/25/2011 16:57,5.79
12,12/5/2011 17:17,1.24
2,11/15/2011 13:19,1.95
12,8/8/2011 10:51,0.85
4,10/24/2011 17:07,1.63
2,5/10/2011 14:09,0.85
12,4/14/2011 13:56,1.45
10,3/20/2011 14:35,6.75
6,9/21/2011 12:46,1.65
12,3/28/2011 13:28,0.39
4,4/11/2011 9:44,3.95
1,11/10/2011 12:37,3.29
